2020-03-12 02:23:21.430 http-nio-15016-exec-29 INFO  flowRecorder - 10.71.64.104,userIp:182.251.64.146,D700805D-FD41-4F95-BA59-538E1BFD7429,,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=D700805D-FD41-4F95-BA59-538E1BFD7429&platform=ios,
2020-03-12 02:23:33.818 http-nio-15016-exec-3 INFO  flowRecorder - 10.71.64.105,userIp:106.91.94.74,9D1DC4A3-FDBD-4DF7-ABBD-AC571FA5CF4D,6d3b37195929e746a3359c3ac4d3d046,tian tian ying qiu/6.3.1 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.3.1&idfa=9D1DC4A3-FDBD-4DF7-ABBD-AC571FA5CF4D&platform=ios,
2020-03-12 02:25:27.549 http-nio-15016-exec-15 INFO  flowRecorder - 10.71.64.105,userIp:183.93.2.205,12562B94-11CC-4339-BB08-77DECF78A874,49ff4d601dd3fdc51a8825c626db5f0a,tian tian ying qiu/6.5.0 (iPhone; iOS 13.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=12562B94-11CC-4339-BB08-77DECF78A874&platform=ios,
2020-03-12 02:26:08.158 http-nio-15016-exec-13 INFO  flowRecorder - 10.71.64.104,userIp:175.176.40.190,C209CBF2-D3C7-4A6F-A6ED-C229BDCE522A,995658b810c9bb2f473f37b276f872e7,tian tian ying qiu/6.3.1 (iPhone; iOS 12.3.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.3.1&idfa=C209CBF2-D3C7-4A6F-A6ED-C229BDCE522A&platform=ios,
2020-03-12 02:26:23.578 http-nio-15016-exec-7 INFO  flowRecorder - 10.71.64.44,userIp:122.96.40.121,BDDB77AC-E96E-450E-A7C5-1011336AFB42,176e46882d802479cfe96e1d1d8b66ba,tian tian ying qiu/6.5.0 (iPhone; iOS 12.2; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=BDDB77AC-E96E-450E-A7C5-1011336AFB42&platform=ios,
2020-03-12 02:27:36.594 http-nio-15016-exec-31 INFO  flowRecorder - 10.71.64.104,userIp:183.60.140.21,953F3685-EA6D-4F0B-8634-6BE4CEB0B899,a0ea2023c923c2e792994618a7596182,tian tian ying qiu/6.5.0 (iPhone; iOS 12.3.1; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=953F3685-EA6D-4F0B-8634-6BE4CEB0B899&platform=ios,
2020-03-12 02:27:42.564 http-nio-15016-exec-19 INFO  flowRecorder - 10.71.64.44,userIp:218.76.105.130,936C8C1F-EDBD-4C70-BC35-81777439B379,ff490fede830aaf73b2c2be226d61f6c,tian tian ying qiu/6.5.0 (iPhone; iOS 11.2.6; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=936C8C1F-EDBD-4C70-BC35-81777439B379&platform=ios,
2020-03-12 02:34:46.248 http-nio-15016-exec-14 INFO  flowRecorder - 10.71.64.105,userIp:182.150.136.206,E555989A-F33C-4C83-942D-19C589CA9D8F,6369580b2aa2f1c132af3320998a2aa3,tian tian ying qiu/6.5.0 (iPhone; iOS 8.3; Scale/3.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=E555989A-F33C-4C83-942D-19C589CA9D8F&platform=ios,
2020-03-12 02:36:10.101 http-nio-15016-exec-19 INFO  flowRecorder - 10.71.64.45,userIp:101.206.254.165,85A3365A-4565-447A-9335-DE122E85D589,,tian tian ying qiu/6.5.0 (iPhone; iOS 12.4.1; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.5.0&idfa=85A3365A-4565-447A-9335-DE122E85D589&platform=ios,
2020-03-12 02:37:00.630 http-nio-15016-exec-14 INFO  flowRecorder - 10.71.64.104,userIp:120.242.96.247,9C85CFEB-783F-4769-B619-8116FD8D2A98,257251b96e930a78436dc02f4e40b04c,tian tian ying qiu/6.3.1 (iPhone; iOS 11.3; Scale/2.00),https://tt.ttyingqiu.com/api/start?agentId=2335034&appVersion=6.3.1&idfa=9C85CFEB-783F-4769-B619-8116FD8D2A98&platform=ios,
